name,url
TV66-CMNO._SAN_RAFAEL,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-66.jpg
TV67-FERIA_NORTE,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1009.jpg
TV68-PARIS,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1077.jpg
TV69-LOS_VEGAS,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1007.jpg
TV73-PLAZA_DE_LA_SOLIDARIDAD,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1073.jpg
TV74-AVDA._DE_LA_AURORA,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1074.jpg
TV85-SANTA_ELENA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-85.jpg
TV13-JUAN_XXIII,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-13.jpg
TV15-ANTONIO_MACHADO,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-15.jpg
TV16-SACABA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-16.jpg
TV26-TABACALERA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-26.jpg
TV27-GUINDOS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-27.jpg
TV31-AYALA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-31.jpg
TV32-EUROPA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-32.jpg
TV33-MOLIERE,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-33.jpg
TV48-AVDA._VELAZQUEZ,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-48.jpg
TV52-A._MACHADO-EL_BULTO,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-52.jpg
TV72-AV._EUROPA-AV._PALOMA,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1003.jpg
TV77-AVDA._MOLIERE-PATO,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-77.jpg
TV83-REALENGA_DE_SAN_LUIS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-83.jpg
TV84-EDUARDO_TOLDRA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-84.jpg
TV89-JOAQUIN_VARGAS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-89.jpg
TV90-HERMANN_HESSE,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-90.jpg
TV82-ROTONDA_PTA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-82.jpg
TV87-EL_BONI-CAMPANILLAS,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-87.jpg
TV54-ATABAL,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1028.jpg
TV55-PTO._TORRE-ANDERSEN,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1029.jpg
TV56-PTO_TORRE-OROZCO,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1030.jpg
TV57-PTO_TORRE-J._LATINO,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-57.jpg
TV63-JUAN_FRANCES_BOSCA,https://ctraficomovilidad.malaga.eu/recursos/movilidad/camaras_trafico/TV-63.jpg
TV21-CARRIL_CAPITAN,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1031.jpg
TV59-NAVARRO_LEDESMA,https://ctraficomovilidad.malaga.eu/cst_ctrafico/camara1032.jpg
